Book_ID,ISBN_Number,Title,Author,Description,Published_Date,Category,Publisher,Image_Path,PDF_Link
,,,,,,,,
100016," 978-0-679-45718-6"," I Know Why the Caged Bird Sings",16," An autobiography about the early years of American writer and poet Maya Angelou."," 1969-01-01",11,16,"https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg"
100017," 978-0-14-243717-9"," Moby-Dick",17," A novel about the voyage of the whaling ship Pequod."," 1851-10-18",1,17,"https://upload.wikimedia.org/wikipedia/commons/3/36/Moby-Dick_FE_title_page.jpg"
100018," 978-0-14-200066-3"," The Grapes of Wrath",18," A novel about the struggles of the Joad family during the Great Depression."," 1939-04-14",1,18,"https://upload.wikimedia.org/wikipedia/commons/a/ad/The_Grapes_of_Wrath_%281939_1st_ed_cover%29.jpg"
100019," 978-0-14-243727-8"," The Complete Poems of Emily Dickinson",19," A collection of poetry by the famous American poet."," 1890-01-01",22,19,"https://m.media-amazon.com/images/I/61tHrd6j7lL._AC_UF1000,1000_QL80_.jpg"
100020," 978-0-553-21342-6"," The Hound of the Baskervilles",20," A detective novel featuring Sherlock Holmes."," 1902-04-01",3,20,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGj3lmmFQc3GWr4Rm5sIJtCzAkl8yCRgSXBw&s"
100021," 978-0-8050-0898-7"," The Metamorphosis",21," A novella about a man who wakes up one morning to find himself transformed into a giant insect."," 1915-01-01",7,11,"https://m.media-amazon.com/images/I/61zETrlpLKL._AC_UF1000,1000_QL80_.jpg"
100022," 978-0-14-144114-6"," Jane Eyre",22," A novel about an orphaned girl's growth to adulthood and love for Mr. Rochester."," 1847-10-16",1,12,"https://upload.wikimedia.org/wikipedia/commons/9/9b/Jane_Eyre_title_page.jpg"
100023," 978-0-14-018647-5"," The Jungle Book",23," A collection of stories about the adventures of Mowgli ,  a boy raised by wolves."," 1894-01-01",18,13,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToRHVyyBfYTIYW9HTaOGccdfGj5B2lOwq0Zw&s"
100024," 978-0-679-74475-7"," Go Tell It on the Mountain",24," A semi-autobiographical novel about a young boy's coming of age in 1930s Harlem."," 1953-01-01",23,14,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsjIIcYK7SmCzpwVqutNMXnvPV1QAJ4iISZA&s"
100025," 978-0-14-118499-8"," One Hundred Years of Solitude",25," The multi-generational story of the Buendía family."," 1967-06-05",1,10,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fa6afff7f-80d9-475b-b660-2422232beed3_863x1424.jpeg"
100026," 978-0-385-33348-1"," Slaughterhouse-Five",26," A science fiction-infused anti-war novel about the bombing of Dresden in World War II."," 1969-03-31",6,16,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSskxo_whShg71_ZFOkMpO_w89PmgA9-7k2cQ&s"
100027," 978-1-4028-9462-6"," Sense and Sensibility",1," A romantic novel that portrays the life and loves of the Dashwood sisters."," 1811-10-30",1,1,"https://upload.wikimedia.org/wikipedia/commons/9/96/SenseAndSensibilityTitlePage.jpg"
100028," 978-0-14-143951-8"," Oliver Twist",2," The story of a young orphan boy who lives in a workhouse and then runs away."," 1838-02-01",1,2,"https://upload.wikimedia.org/wikipedia/commons/f/f5/Olivertwist_front.jpg"
100029," 978-0-19-923276-4"," Anna Karenina",3," A tragic romance novel that examines Russian society."," 1877-01-01",1,3,"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546091617i/15823480.jpg"
<<<<<<< HEAD
100030," 978-0-14-310732-0"," The Adventures of Huckleberry Finn",4," A novel about a young boy who runs away from home and floats down the Mississippi River."," 1884-12-10",18,4, "https://cdn.kobo.com/book-images/7b44dfad-0d63-49f2-b225-ecd0f8d39bf4/353/569/90/False/the-adventures-of-huckleberry-finn-203.jpg"
100031," 978-0-15-603155-4"," To the Lighthouse",5," A novel that centers on the Ramsay family and their visits to the Isle of Skye."," 1927-05-05",1,5, "https://m.media-amazon.com/images/I/81uGyLbPszL._AC_UF1000,1000_QL80_.jpg"
100032," 978-0-684-84328-4"," For Whom the Bell Tolls",6," A novel about an American in the Spanish Civil War."," 1940-10-21",12,6, "https://upload.wikimedia.org/wikipedia/en/4/48/ErnestHemmingway_ForWhomTheBellTolls.jpg"
100033," 978-0-452-28424-1"," Animal Farm",7," A satirical allegory about a group of farm animals who rebel against their human farmer."," 1945-08-17",1,7, "https://m.media-amazon.com/images/I/91Lbhwt5RzL._AC_UF1000,1000_QL80_.jpg"
100034," 978-0-545-01023-8"," Harry Potter and the Chamber of Secrets",8," The second book in the Harry Potter series."," 1998-07-02",7,8, "https://m.media-amazon.com/images/M/MV5BMjE0YjUzNDUtMjc5OS00MTU3LTgxMmUtODhkOThkMzdjNWI4XkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_FMjpg_UX1000_.jpg"
100035," 978-0-06-112009-1"," Go Set a Watchman",9," A novel about Scout Finch returning to Maycomb as an adult."," 2015-07-14",1,9, "https://m.media-amazon.com/images/I/91YXvPqn5jL._AC_UF1000,1000_QL80_.jpg"
100036," 978-0-14-118500-2"," Love in the Time of Cholera",10," A novel about a love triangle set in the backdrop of a Caribbean seaport town."," 1985-01-01",1,10, "https://m.media-amazon.com/images/I/61F+iqPd57L._AC_UF1000,1000_QL80_.jpg"
100037," 978-0-7432-7357-2"," Tender is the Night",11," A story about the rise and fall of Dick Diver and his wife  Nicole."," 1934-04-12",1,11, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT03y6cdV2w6PjeYF9rxnAeVUCbqt4KIPT-MQ&s"
100038," 978-0-06-207349-5"," The ABC Murders",12," A detective novel featuring Hercule Poirot."," 1936-01-06",3,12, "https://m.media-amazon.com/images/M/MV5BYmJmNzU0NTgtOGM5Ni00MWJiLTgwZmMtNDIyNjYzZDAzNzI5XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_.jpg"
100039," 978-0-307-27526-1"," Song of Solomon",13," A novel that explores African-American identity and heritage."," 1977-09-01",1,13,"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1632283992i/11334.jpg"
100040," 978-0-618-00223-5"," The Two Towers",14," The second part of J.R.R. Tolkien's epic fantasy series The Lord of the Rings."," 1954-11-11",7,14, "https://m.media-amazon.com/images/I/71FXalNQFtL._AC_UF1000,1000_QL80_.jpg"
100041," 978-0-671-02736-3"," Carrie",15," A horror novel about a bullied girl with telekinetic powers."," 1974-04-05",8,15, "https://m.media-amazon.com/images/M/MV5BODg2MDU2MjYxNl5BMl5BanBnXkFtZTcwMDQ5MzU0OQ@@._V1_FMjpg_UX1000_.jpg"
100042," 978-0-679-45719-3"," Gather Together in My Name",16," The second book in Maya Angelou's series of seven autobiographies."," 1974-01-01",11,16, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9n7ft7GpE2WiOtqlFZ1TFQgygOdX4f8_COg&s"
100043," 978-0-14-243718-6"," Bartleby , the Scrivener",17," A short story about a Wall Street lawyer who employs a new scrivener."," 1853-01-01",23,17, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWQzBvfkIFUDTPG-rFBH6JxSOUy901z1_qew&s"
100044," 978-0-14-200067-0"," East of Eden",18," A novel about the intertwined destinies of two families."," 1952-09-19",1,18, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLYFFwW4YMZhvkSw-WFZnGzr9VQb3xAN0PXg&s"
100045," 978-0-14-243728-5"," Selected Poems of Emily Dickinson",19," A curated collection of poetry by the famous American poet."," 1890-01-01",22,19, "https://m.media-amazon.com/images/I/812RqhvW-lL._AC_UF1000,1000_QL80_.jpg"
100046," 978-0-553-21343-3"," The Sign of Four",20," A detective novel featuring Sherlock Holmes."," 1890-02-14",3,20, "https://m.media-amazon.com/images/I/51jeED9BT1L._AC_UF1000,1000_QL80_.jpg"
100047," 978-0-8050-0899-4"," The Trial",21," A novel about a man who is arrested and prosecuted by a remote , inaccessible authority."," 1925-01-01",23,12, "https://m.media-amazon.com/images/M/MV5BOWM1NDYyNTAtYTczYS00YjJiLTk2NjctYjg3NmI1NTIyZTc2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
100048," 978-0-14-144115-3"," Villette",22," A novel about a young woman's struggles and triumphs in a foreign land."," 1853-01-01",1,2, "https://cdn.kobo.com/book-images/ee89e956-3b54-4841-81c1-8f0d066f88dd/353/569/90/False/villette-42.jpg"
100049," 978-0-14-018648-2"," Kim",23," The story of an orphaned boy in British India."," 1901-01-01",14,3, "https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630963799l/210834.jpg"
100050," 978-0-679-74476-4"," Another Country",24," A novel that examines the tensions within and between races."," 2002-11-11",23,9, "https://upload.wikimedia.org/wikipedia/en/d/d5/Another_Country_1984_film_poster.jpg"
100051," 978-0-14-118500-1"," Chronicle of a Death Foretold",25," A novella about a murder foretold in a small town."," 1981-01-01",1,10, "https://m.media-amazon.com/images/I/716ba9XDBJL._AC_UF1000,1000_QL80_.jpg"
100052," 978-0-385-33349-8"," Breakfast of Champions",26," A satirical novel about the intersections of art and life."," 1973-01-01",6,14, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHX5tNd_0r3pcs4rBeuE1mSevfH-3Uas7MKg&s"
100053," 978-1-4028-9463-3"," Northanger Abbey",1," A satire of Gothic novels."," 1818-12-01",1,1, https://m.media-amazon.com/images/M/MV5BMjA1ODE4MzAwOF5BMl5BanBnXkFtZTcwNTAyMjE2MQ@@._V1_.jpg
100054," 978-0-14-143952-5"," David Copperfield",2," The story of a young man’s adventures from boyhood to maturity."," 1850-01-01",1,2, "https://m.media-amazon.com/images/I/71stfjkSPXL._AC_UF1000,1000_QL80_.jpg"
100055," 978-0-19-923277-1"," Resurrection",3," A novel about a nobleman’s attempt to redeem his earlier transgressions."," 1899-01-01",1,3, "https://m.media-amazon.com/images/M/MV5BMjE2OTQ2Nzk4N15BMl5BanBnXkFtZTgwMTU0MTE5MjE@._V1_.jpg"
100056," 978-0-14-310733-7"," Pudd'nhead Wilson",4," A novel about a Southern town in the midst of a murder trial."," 1894-01-01",18,4, "https://m.media-amazon.com/images/I/61A7drvt4qL._AC_UF1000,1000_QL80_.jpg"
100057," 978-0-15-603156-1"," Orlando",5," A novel about a young nobleman who lives for three centuries without aging."," 1928-01-11",1,5, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRk5LjSlnJoncjrbOREmbeAsoGyJdys6WWiDg&s"
100058," 978-0-684-84329-1"," A Farewell to Arms",6," A novel about a tragic romance during World War I."," 1929-09-27",12,6, "https://m.media-amazon.com/images/I/719VFUyk9GL._AC_UF1000,1000_QL80_.jpg"
100059," 978-0-452-28425-8"," Homage to Catalonia",7," A first-person account of the Spanish Civil War."," 1938-01-01",12,7, "https://upload.wikimedia.org/wikipedia/en/b/b6/Homage_to_Catalonia%2C_Cover%2C_1st_Edition.jpg"
100060," 978-0-545-01024-5"," Harry Potter and the Prisoner of Azkaban",8," The third book in the Harry Potter series."," 1999-07-08",7,8, "https://m.media-amazon.com/images/I/81NQA1BDlnL._AC_UF1000,1000_QL80_.jpg"
100061," 978-0-06-112010-7"," Mockingbird",9," A novel about the adult Scout Finch."," 2015-07-14",1,9, "https://cdn.britannica.com/21/182021-050-666DB6B1/book-cover-To-Kill-a-Mockingbird-many-1961.jpg"
100062," 978-0-14-118501-8"," The Autumn of the Patriarch",10," A novel about the life of a Caribbean dictator."," 1975-01-01",1,10, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREWzQnnmz7H35UKXEs2T-164bVG3Iv0QJWtA&s"
100063," 978-0-7432-7357-3"," The Beautiful and Damned",11," A story of a young couple living in New York City during the Jazz Age."," 1922-03-20",1,11, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4zviCG3Q2eDzQyl0U6izdqD6neHeWdumXhQ&s"
100064," 978-0-06-207350-8"," Death on the Nile",12," A detective novel featuring Hercule Poirot."," 1937-01-01",3,12, "https://m.media-amazon.com/images/M/MV5BYjBkMTRkMmUtNGQ5Ni00YjkwLThhMmMtZjI1M2U2NzRhNjkwXkEyXkFqcGc@._V1_.jpg"
100065,"978-0-452-28426-5","The Catcher in the Rye",27,"The story of Holden Caulfield a teenager navigating life and alienation in New York City during the 1950s.","1951-07-16",1,28, "https://m.media-amazon.com/images/I/91fQEUwFMyL._AC_UF1000,1000_QL80_.jpg"
100066,"978-0-06-112241-5","The Bell Jar",28,"A semi-autobiographical novel about Esther Greenwood's mental health struggles and descent into madness.","1963-01-14",1,29, "https://m.media-amazon.com/images/I/812nGlXCWwL._AC_UF1000,1000_QL80_.jpg"
100067,"978-0-14-118511-7","Midnight's Children",29,"The story of Saleem Sinai born at the exact moment of India's independence and his telepathic powers.","1981-04-15",1,30, "https://cdn.kobo.com/book-images/f820dcf6-2fc4-4489-a427-847223d50e8e/353/569/90/False/midnight-s-children.jpg"
100068,"978-0-7432-7358-9","The Sun Also Rises",6,"A novel about the post-World War I expatriates in Paris and Spain grappling with love and disillusionment.","1926-10-22",12,6, "https://m.media-amazon.com/images/I/71IwKUdkvQL._AC_UF1000,1000_QL80_.jpg"
100069,"978-0-618-00224-2","The Return of the King",14,"The third part of J.R.R. Tolkien's epic fantasy series The Lord of the Rings concluding the journey of the Fellowship.","1955-10-20",7,14, "https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
100070,"978-0-7432-7359-6","This Side of Paradise",11,"The story of Amory Blaine a young man growing up and navigating love and ambition in early 20th century America.","1920-03-26",1,11, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIMtAGdS-KrEb0JiYl_qYAJFlwB9Z7vpMdQw&s"
100071,"978-0-06-207351-5","The Murder of Roger Ackroyd",12,"A detective novel featuring Hercule Poirot unraveling the mystery of Roger Ackroyd's death in a small English village.","1926-06-24",3,12, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJYeKf_XxXS0XBRYX_PMCKks4vQyvV38MmaQ&s"
100072,"978-0-452-28427-2","A Clockwork Orange",30,"A dystopian novel about Alex a teenage delinquent and his journey through violence and the state's rehabilitation program.","1962-02-01",8,31, "https://upload.wikimedia.org/wikipedia/en/7/73/A_Clockwork_Orange_%281971%29.png"
100073,"978-0-618-00225-9","The Silmarillion",14,"A collection of mythopoeic stories by J.R.R. Tolkien that serves as the prequel to The Lord of the Rings.","1977-09-15",7,14, "https://m.media-amazon.com/images/I/81n8m36liHL._AC_UF1000,1000_QL80_.jpg"
100074,"978-0-06-112242-2","On the Road",32,"A novel chronicling the cross-country travels of Sal Paradise and his friends in post-war America.","1957-09-05",23,32, "https://upload.wikimedia.org/wikipedia/en/7/72/On_the_Road_FilmPoster.jpeg"
100075,"978-0-452-28428-9","Brave New World",33,"A science fiction novel depicting a futuristic society controlled by technology and conditioning where individuality is suppressed.","1932-02-17",8,33, "https://m.media-amazon.com/images/I/91D4YvdC0dL._AC_UF1000,1000_QL80_.jpg"
100076,"978-0-7432-7360-2","Tender is the Night",11,"A story about the glamorous yet tragic lives of Dick and Nicole Diver in the French Riviera.","1934-04-12",1,11, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT03y6cdV2w6PjeYF9rxnAeVUCbqt4KIPT-MQ&s"
100077,"978-0-06-207352-2","The Mysterious Affair at Styles",12,"The debut novel featuring Hercule Poirot investigating a murder at Styles Court during World War I.","1920-10-01",3,12, "https://m.media-amazon.com/images/I/51ArvUXZijL._AC_UF1000,1000_QL80_.jpg"
100078,"978-0-452-28429-6","The Road",34,"A post-apocalyptic novel following a father and son's journey through a devastated landscape.","2006-09-26",23,34, "https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/The_Road_movie_poster.jpg/220px-The_Road_movie_poster.jpg"
100079,"978-0-618-00226-6","Unfinished Tales",14,"A collection of narratives by J.R.R. Tolkien providing deeper insights into the world of Middle-earth.","1980-10-02",7,14, "https://m.media-amazon.com/images/I/71g6NrSpqXL._AC_UF1000,1000_QL80_.jpg"
100080,"978-0-06-112243-9","Fear and Loathing in Las Vegas",35,"A savage journey into the heart of the American dream through the eyes of Raoul Duke and his attorney.","1971-11-11",23,35, "https://m.media-amazon.com/images/M/MV5BY2RkY2M2N2QtZGY5ZS00YmVjLThmNTItY2ZkM2JlYmFhZWQyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg"
100081,"978-0-452-28430-2","Invisible Man",36,"A novel about an African American man's experiences and struggles with racism and identity in early 20th century America.","1952-04-14",1,36, "https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/The_Invisible_Man_%282020_film%29_-_release_poster.jpg/220px-The_Invisible_Man_%282020_film%29_-_release_poster.jpg"
100082,"978-0-7432-7361-9","To the Lighthouse",5,"A novel detailing the Ramsay family's visits to the Isle of Skye and their intricate personal dynamics.","1927-05-05",1,5, "https://m.media-amazon.com/images/I/81uGyLbPszL._AC_UF1000,1000_QL80_.jpg"
100083,"978-0-06-207353-9","Death Comes as the End",12,"A historical murder mystery set in ancient Egypt featuring a series of suspicious deaths in a priest's household.","1944-10-01",3,12, "https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Death_Comes_as_the_End_1944_US_First_Edition_cover.jpg/220px-Death_Comes_as_the_End_1944_US_First_Edition_cover.jpg"
100084,"978-0-452-28431-9","The Handmaid's Tale",37,"A dystopian novel set in a totalitarian regime where women are subjugated and forced into reproductive slavery.","1985-09-12",8,37, "https://m.media-amazon.com/images/M/MV5BN2M0NTdiMGYtNmFjZi00MjIxLWI3OTUtNTdmZDRlOTNiYWU0XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_FMjpg_UX1000_.jpg"
100085,"978-0-618-00227-3","Beren and Lúthien",14,"A tale from the mythology of Middle-earth recounting the love story between the mortal Beren and the elf-maiden Lúthien.","2017-06-01",7,14, "https://m.media-amazon.com/images/I/71DgFHWczML._AC_UF1000,1000_QL80_.jpg"
100086,"978-0-06-112244-6","The Electric Kool-Aid Acid Test",38,"A non-fiction account of Ken Kesey and the Merry Pranksters' cross-country road trip in the 1960s promoting LSD.","1968-08-14",23,38, "https://upload.wikimedia.org/wikipedia/en/e/e4/KoolAid_1stUSEd_front.jpg"
100087,"978-0-452-28432-6","Catch-22",39,"A satirical novel about the absurdities of war and bureaucracy through the experiences of Captain John Yossarian during World War II.","1961-11-10",12,39, "https://upload.wikimedia.org/wikipedia/en/9/99/Catch22.jpg"
100088,"978-0-7432-7362-6","Mrs Dalloway",5,"A novel detailing a single day in the life of Clarissa Dalloway as she prepares for a party and reflects on her past.","1925-05-14",23,5, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMHNMve1BJSG3oDe8JBZO_J3Pdr6PnnOz3zQ&s"
100089,"978-0-06-207354-6","Five Little Pigs",12,"Hercule Poirot reopens a sixteen-year-old murder case to prove the innocence of the convicted Caroline Crale.","1942-05-01",3,12, "https://m.media-amazon.com/images/I/81anmW5S1HL._AC_UF1000,1000_QL80_.jpg"
100090,"978-0-452-28433-3","Lord of the Flies",40,"A novel about a group of boys stranded on an uninhabited island and their descent into savagery.","1954-09-17",1,40, "https://m.media-amazon.com/images/I/716MU3GOvJL._AC_UF1000,1000_QL80_.jpg"
100091,"978-0-618-00228-0","The Fall of Gondolin",14,"The story of the rise and fall of the elven city of Gondolin and its conflict with the dark lord Morgoth.","2018-08-30",7,14, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRf6Wbv_4EDOuZoJK3_Kp-sR9zOucM7mjRL_Q&s"
100092,"978-0-06-112245-3","The Dharma Bums",32,"A novel chronicling the spiritual journey of Ray Smith and Japhy Ryder through the mountains and cities of 1950s America.","1958-10-01",23,32, "https://m.media-amazon.com/images/I/61WkCwZEVjL._AC_UF1000,1000_QL80_.jpg"
100093,"978-0-452-28434-0","Slaughterhouse-Five",26,"A science fiction-infused anti-war novel depicting the experiences of Billy Pilgrim and the bombing of Dresden.","1969-03-31",6,16, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCRB-iVWQeao4Sc_v0adNCFGl1ybyisifUeA&s"
100094,"978-0-7432-7363-3","A Room of One's Own",5,"An extended essay exploring the conditions necessary for women writers to achieve literary success and creativity.","1929-10-24",11,5, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6RIHiDsf_Q4iXHI0ScZMFzpIf90mAmZmyAA&s"
100095,"978-0-06-207355-3","The ABC Murders",12,"Hercule Poirot investigates a series of murders where the victims' names follow an alphabetical order.","1936-01-06",3,12, "https://m.media-amazon.com/images/M/MV5BYmJmNzU0NTgtOGM5Ni00MWJiLTgwZmMtNDIyNjYzZDAzNzI5XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_.jpg"
100096,"978-0-452-28435-7","Heart of Darkness",41,"A novel exploring the journey of Charles Marlow up the Congo River and his encounter with the enigmatic Mr. Kurtz.","1899-11-01",1,41, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB6k-bVqTf3R1j7MB-t6P4jiRx39CV2hA8cA&s"
100097,"978-0-618-00229-7","Roverandom",14,"A children's story by J.R.R. Tolkien about a toy dog named Rover who is transformed into a real dog and sent on magical adventures.","1998-09-01",7,14, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTi2WVqZMCia0Sn9lS82DceGSfR9ibuxZG1eg&s"
100098,"978-0-06-112246-0","Big Sur",38,"A novel recounting Jack Duluoz's retreat to Big Sur to escape the pressures of fame and his battle with alcoholism.","1962-08-23",23,38, "https://m.media-amazon.com/images/I/61JfcmyFKML._AC_UF1000,1000_QL80_.jpg"
100099,"978-0-452-28436-4","Atlas Shrugged",42,"A novel depicting a dystopian United States where industrialists and innovators go on strike against an oppressive government.","1957-10-10",8,42, "https://m.media-amazon.com/images/I/712JWAJWojL._AC_UF1000,1000_QL80_.jpg"
100100,"978-0-7432-7364-0","The Beautiful and Damned",11,"A novel about the rise and fall of Anthony Patch and his wife Gloria in 1920s New York City.","1922-03-20",1,11, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4zviCG3Q2eDzQyl0U6izdqD6neHeWdumXhQ&s"
100101,"978-0-06-207356-0","Murder in Mesopotamia",12,"Hercule Poirot investigates the murder of an archaeologist's wife at a dig site in Iraq.","1936-07-06",3,12, "https://upload.wikimedia.org/wikipedia/en/c/c0/Murder_in_Mesopotamia_First_Edition_Cover_1936.jpg"
100102,"978-0-452-28437-1","The Brothers Karamazov",43,"A philosophical novel exploring themes of faith morality and free will through the story of the Karamazov family.","1880-11-01",1,43, "https://m.media-amazon.com/images/I/71OZJsgZzQL._AC_UF1000,1000_QL80_.jpg"
100103,"978-0-618-00230-3","Smith of Wootton Major",14,"A short story by J.R.R. Tolkien about a smith who gains access to the magical land of Faery and his adventures there.","1967-11-09",7,14, "https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/JRRTolkien_SmithOfWoottonMajor.jpg/220px-JRRTolkien_SmithOfWoottonMajor.jpg"
100104,"978-0-06-112247-7","Desolation Angels",38,"A novel recounting the experiences of Jack Duluoz in the wilderness and his reflections on life society and spirituality.","1965-08-19",23,38, "https://upload.wikimedia.org/wikipedia/en/d/d9/DesolationAngels.jpg"
100105,"978-0-452-28438-8","The Fountainhead",42,"A novel following the life of Howard Roark an individualistic and visionary architect fighting against conventional standards.","1943-05-07",8,42, "https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyHICElqbkmnB3yoagW-_PY9uB4lN6YAwl7g&s"
